ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Agno a Recoaro Terme;;;;;;;;;;;;;
Coordinata X 1672436 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5063345 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 471 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2000;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2001;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2002;38.8;262;98.4;244.2;628.3;123.1;91.9;0;135.6;190.7;640.3;144.6;2597.9
2003;97.8;1;8.1;98.5;45;95.4;80;88.1;31.2;234.4;450.2;260.7;1490.4
2004;47;214.5;244.5;351.1;260.5;130.6;71;53.7;148.1;324.9;316.9;171.1;2333.9
2005;16.2;30;62.5;440.6;290.8;197.4;360;108.8;185.3;395;139.7;148.7;2375
2006;106.7;157.6;86.9;153.2;134.8;70.5;59.9;260.6;280.1;51.4;0;35.3;1397
2007;116.9;56.8;190.4;43.7;217.7;230.4;75.7;287.9;165.5;146.1;332.3;8.6;1872
2008;286;67.2;104.2;330.3;224.3;319;107.8;133.2;203.5;16.6;>>;>>;1792.1
2009;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;197.6;310;507.6
2010;121.1;176.2;101.1;73.1;229.7;124.3;116.3;390.1;317.2;509.7;828.5;462.1;3449.4
2011;68.9;141.8;265.7;31;101;241;76.7;75.7;130.9;181;501.3;95.6;1910.6
2012;28.5;20.4;14.6;304;221.8;70.5;96.5;80.2;220.8;277.2;536.9;104.4;1975.8
2013;45.2;33.8;338.1;251.2;504.6;123.8;39.8;114;111.8;189.2;272.6;219.2;2243.3
2014;510.6;434.4;199.4;194.4;135.2;218.6;356.6;277.2;87.6;116.8;536.2;171.2;3238.2
2015;103.4;180.4;135.8;144.6;142.8;124.2;47.6;91;205;249.6;12.4;0;1436.8
2016;117.6;416;132.4;75.4;211.8;124.4;67.2;129.8;48;176;176.6;0.6;1675.8
2017;8.4;202.8;68.8;153.8;101.2;111.4;73.2;72.8;245.2;22;159.2;199.2;1418
2018;88;69.8;247.8;225.2;287.6;206.6;170.8;289.8;194;378.6;337.4;16.4;2512
2019;24.2;189;23.2;526.6;315;109.2;69.6;78.6;163.8;118.4;793.4;148.8;2559.8
2020;20.4;4.6;188.8;74;152.4;185.8;127.8;241.4;102.4;418;11.2;556.8;2083.6
2021;311.8;78.8;26.6;162.2;235.6;57.6;146.2;101.8;60.4;98.2;326.6;46.6;1652.4
2022;39.2;58.6;12.8;116.6;106.8;128.6;52.6;341;150.8;36;145;190.8;1378.8
