ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Astico a Lugo di Vicenza;;;;;;;;;;;;;
Coordinata X 1696324 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5068320 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 143 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;63.8;96;41.6;201.4
1995;44.2;80.6;39.2;79.8;232.6;184;53.2;146.8;242.8;3;62.4;145.8;1314.4
1996;131;46;13.2;97.4;157.6;82.8;138.6;231.2;62.8;212.4;175.6;109;1457.6
1997;79;0.2;2.2;60.8;55.6;213.6;84.4;77.6;9;36.4;190;174;982.8
1998;45.6;19.2;8.4;213.6;70.6;136.6;114.4;32.2;227.8;195.6;15.8;10;1089.8
1999;48.4;0.2;122.6;107.2;126.4;62.2;56.8;104.2;152.2;142.4;107.2;56.8;1086.6
2000;0;6;144.8;88.8;103.2;102;77.2;97.6;106.2;241.2;348.4;80.8;1396.2
2001;141.8;26.2;225.6;85.6;60.4;27;62.4;132.2;127.4;41.2;45.4;4.6;979.8
2002;24.4;123.4;40.4;152.2;250.8;19;>>;>>;>>;>>;>>;47.6;657.8
2003;56;1.2;1;72.4;45;59;65;59.2;48;96.8;210;144.8;858.4
2004;24;127.6;123.4;130;183;122.4;59.8;52.4;74.6;191.4;118.6;86.2;1293.4
2005;7.8;4.8;32.6;113.6;84.8;75.4;177.6;151.2;178;217.8;128.2;86.2;1258
2006;10.6;58.8;51.2;122.4;85.4;60.8;67;117.6;103.2;14.6;15.8;84.6;792
2007;60.6;40.2;85.4;17.6;185.2;99.4;54.6;128.6;86;69.6;98.8;9;935
2008;133.8;44.8;71.6;180;159.6;220.8;82;71;92.8;95.4;207.6;273.2;1632.6
2009;129.6;125.6;172.6;188.4;73.2;107.2;112;121.6;152.6;66;118.8;197;1564.6
2010;56;111;72;32.4;168.2;93.4;92;122.4;158.4;231.6;357.2;236;1730.6
2011;55.4;69.4;126.8;23.6;65.4;188.6;111.4;7.8;87.2;145.2;98.6;40.4;1019.8
2012;13.4;18;0.2;170.6;137.4;54.6;90.4;77.4;64.2;132.6;287.8;64;1110.6
2013;117.4;33.4;234.4;153;314.2;82.4;71.6;164.2;40.2;92.6;134.4;70.8;1508.6
2014;347.6;303;94.2;108.8;79;174.6;283;228;89;69;279.6;121.4;2177.2
2015;59.2;91;113.4;37.2;157.4;57.6;74.8;124.2;185.8;219.6;8;0.6;1128.8
2016;65.6;220.2;95.4;69.8;160.8;103.8;46.2;139.4;61.6;122.6;119.6;0.2;1205.2
2017;9.6;110.8;25.6;94.8;107.4;139;86.4;40.4;159.4;13.8;127;121;1035.2
2018;41;55;151.6;95.4;173.4;108.4;92.6;113;44.2;152.2;131.4;12.6;1170.8
2019;14;107;13.6;228.8;269.8;49;122.2;109.8;94.2;55.6;376.6;94.6;1535.2
2020;14.6;3.4;102.8;45;101.4;204.4;77.6;389.8;52.6;156;10.4;257.2;1415.2
2021;171.6;39.2;4.6;132.4;232.8;55.2;161.6;127.6;86.8;52;202.2;37.4;1303.4
2022;30.6;46.2;8.6;69.4;89.2;46.2;33.2;259.2;120;19;96.6;101.6;919.8
2023;71.6;0.8;24.8;73.6;137;148.2;138.2;121.8;59.8;190.6;140;66.8;1173.2
2024;99.6;260.6;197.2;66;422;148.2;110.2;28.6;190.2;279.8;5;54.8;1862.2
Medio mensile;70.1;72.5;80;103.7;149.6;107.5;96.4;123.3;108.9;120.7;143.8;91.3;1219.2
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
