ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Gallio;;;;;;;;;;;;;
Coordinata X 1698124 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5083931 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1176 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2000;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2001;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2002;13.6;8;0;125.2;331.2;129.8;269;228.8;143;96.2;453.6;59.8;1858.2
2003;18.6;0.2;5.6;6.2;45;125.8;82;82.8;41.4;146;204;5.8;763.4
2004;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2005;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2006;>>;>>;>>;>>;>>;>>;83.8;176.4;183.8;46.4;16.6;109;616
2007;74.4;22;71;24.8;183.8;183;74.2;136.2;99;66.4;121.2;1.4;1057.4
2008;104.4;19.8;42.6;153.4;192.2;185.8;176.4;158.4;116.4;137.4;191.8;251.2;1729.8
2009;71.6;86.8;124.4;290.2;38.8;134;102.4;141.6;175.6;74.2;195.4;128.8;1563.8
2010;51.2;58.2;51;26;259.4;131.2;86.6;65;119.4;252.8;364.2;204;1669
2011;16;28.4;145.2;20;98.2;303.4;169;94.2;157.2;147.4;167.6;18;1364.6
2012;11.4;9;7.8;167;178.2;71.8;119;116.4;158.4;215.2;372;25;1451.2
2013;56.8;35.2;172;185.6;459.6;142.6;96.8;113.2;72.2;141.2;112.4;201.4;1789
