ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione La Secca;;;;;;;;;;;;;
Coordinata X 1756367 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5113855 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 386 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;11.4;37.4;16.4;131;127;55;90.6;1.8;235;72.4;64.2;29;871.2
1995;29.2;47.2;43.6;61.2;181;250;72;115.2;214;0.4;30.4;63.6;1107.8
1996;36;17.2;7.6;54.4;169.4;93.6;122;187.8;57.8;338.8;272.2;44.6;1401.4
1997;52.6;2;11.2;37.6;102.4;234;160.2;137.2;15.8;17.6;248;127.4;1146
1998;7.6;0;4.2;231.2;97.4;134.4;117.6;31;232;253.2;26.6;3.4;1138.6
1999;54;1.6;120;125.8;114.6;159.8;104.4;172.6;173.6;134.4;63;46.4;1270.2
2000;0;5.8;141.8;71;157.4;97;111.2;101.4;199;228.4;465.6;0;1578.6
2001;0;0;93.6;21.2;50.6;14;184.2;129;140.6;77.6;48.8;0;759.6
2002;15.6;61.2;43.8;190;210.6;271;137;190.2;120.6;90.4;287.6;0;1618
2003;0;0;0;11.8;51.2;55.8;38.8;0.4;0;130.6;162.8;85.8;537.2
2004;0;0;15;79.8;189.6;132.6;48.4;100.6;90.4;299;74.6;70.8;1100.8
2005;2.6;2.8;22.8;126.6;108.2;78.2;146.4;161.2;204.8;181.8;67.4;62;1164.8
2006;28.4;43.4;44.8;90.6;63.4;27.2;98;184.4;126.2;42.6;11.6;133.8;894.4
2007;105.8;32;16.6;5.4;107;132.2;76.8;0;98.6;38.6;113.8;0.4;727.2
2008;153;42.8;45.8;145.6;148.6;127;127.8;102.2;146.4;204.2;230;274.8;1748.2
2009;135.6;110.6;180.2;159.6;50.6;115.8;109.2;123.8;175.2;70.8;149.2;161.6;1542.2
2010;56.6;72.2;37.4;46.6;224.4;128.4;149.8;144.8;185.8;233.2;376;235.8;1891
2011;30.8;29.6;111.2;46.8;107.4;169.2;172.8;80.6;133;27.2;113;31.6;1053.2
2012;11.4;5.6;15.8;144.8;178.2;99.6;136.8;138.4;176.4;174.4;371.8;35;1488.2
2013;42.2;27.6;157;92.2;275;97.6;56.2;113.4;57.4;115.8;186.2;186.6;1407.2
2014;424.6;315;93.2;78.8;95.8;177;185.2;181.4;105.2;82.2;344.8;102;2185.2
2015;60.8;14;87.4;39.2;113.4;75.6;21.8;139.2;148;152.4;3.6;0;855.4
2016;34;199.8;102.2;77.8;192.8;157.2;123.4;130.2;86.4;106.6;111.8;0;1322.2
2017;5.2;87.8;23.4;114.2;79.2;195;124.2;51;173.8;24;141;198.2;1217
2018;130.4;20.8;122.2;128.2;150;125;149.8;104.8;49;305.8;136.2;2.8;1425
2019;22.4;161.4;22.2;343.4;194;16;93.2;142.8;95;82.8;534.4;129.2;1836.8
2020;1.8;3;107.6;25.2;104.2;176;133.6;282.6;103.4;174.4;6.8;396.2;1514.8
2021;168.4;58.2;1.8;79.6;258;82.2;143;244.8;81.6;76.2;175.4;45.8;1415
2022;26.8;37.4;7.4;72.4;59.4;65.8;67;177.2;126;45;90.2;85.4;860
2023;45;1.2;27.6;62.6;115.4;169.6;179.4;112.8;58;258;168.4;91.2;1289.2
2024;75.4;222.8;223.2;72;279.4;164.6;128;68.4;210.8;277.8;1.8;24;1748.2
Medio mensile;57;53.6;62.8;95.7;140.5;125;116.4;124.2;129.7;139.2;163.8;86;1294
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;5;0;0;0;0;0;0;10;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;0;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;5;2;1;0;0;0;0;0;0;0;0;0;
1999;0;2;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;11;
2001;16;3;7;5;5;5;3;0;0;0;0;0;
2002;0;0;0;0;0;0;0;0;0;0;4;8;
2003;9;2;2;10;2;0;9;11;9;0;3;6;
2004;4;9;4;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;0;0;0;0;0;0;0;0;0;0;0;0;
2007;0;2;4;4;0;2;2;29;4;0;0;0;
2008;0;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;0;
2010;0;0;0;0;0;0;0;0;0;0;0;0;
2011;0;0;0;0;0;0;0;0;0;5;0;0;
2012;0;0;0;0;0;0;0;0;0;0;0;0;
2013;0;1;5;9;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;1;4;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;0;0;1;0;
2023;2;0;0;0;0;0;0;0;2;0;4;0;
2024;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 27 febbraio 2025;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione La Secca;;;;;;;;;;;;;
Coordinata X 1756367 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5113855 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 386 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;3;3;1;13;14;10;10;0;11;8;4;3;80
1995;5;8;6;6;13;19;10;15;15;0;4;10;111
1996;9;3;4;9;14;10;11;15;8;9;12;7;111
1997;7;1;3;3;10;22;15;14;3;3;10;9;100
1998;2;0;1;20;17;13;8;5;10;9;3;1;89
1999;5;1;9;13;11;17;12;15;9;9;9;6;116
2000;0;2;6;9;12;12;15;9;10;17;17;0;109
2001;0;0;10;4;7;6;12;11;12;3;5;0;70
2002;1;5;4;15;17;10;13;13;11;10;10;0;109
2003;0;0;0;1;7;9;5;0;0;7;5;3;37
2004;0;0;3;11;15;12;11;13;6;13;8;7;99
2005;1;2;5;13;11;9;12;15;9;9;6;7;99
2006;4;6;6;9;9;5;9;16;4;6;4;7;85
2007;4;6;3;1;9;12;6;0;3;5;4;0;53
2008;7;4;8;17;15;15;13;10;12;6;10;12;129
2009;8;6;7;14;6;13;10;9;7;7;10;11;108
2010;5;4;4;9;17;8;11;11;9;8;14;9;109
2011;3;3;7;7;8;21;17;8;7;1;5;5;92
2012;2;1;3;13;11;8;13;9;11;9;12;4;96
2013;9;3;15;7;20;14;4;10;7;9;12;3;113
2014;14;18;5;7;12;12;17;19;12;6;15;6;143
2015;4;6;6;7;14;8;6;11;10;13;1;0;86
2016;4;13;6;9;15;19;12;9;8;12;9;0;116
2017;1;8;4;11;15;13;12;7;13;1;7;6;98
2018;3;5;14;13;21;12;13;9;7;6;7;1;111
2019;5;4;3;14;18;3;13;11;6;7;19;8;111
2020;0;2;8;3;12;15;11;16;10;10;1;10;98
2021;8;3;1;7;19;8;13;14;7;5;10;4;99
2022;1;2;1;7;11;8;8;12;11;4;8;9;82
2023;5;1;3;9;15;16;11;9;6;12;5;4;96
2024;7;11;17;10;17;11;11;5;14;15;1;2;121
Medio mensile;4;4;6;9;13;12;11;10;9;8;8;5;99
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
