ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Monticano a Fontanelle;;;;;;;;;;;;;
Coordinata X 1767169 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5081710 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 18 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;99.2;30.4;6.4;138.2;103.4;32;29.8;47.6;187.6;82.2;64.8;31.4;853
1995;45.8;66.6;69.4;69.8;206.2;170.6;71.4;156.8;211.8;2.8;22;155.8;1249
1996;110.6;35;6.2;139.6;132.2;34.2;73.8;176.8;67;265.2;144.6;91;1276.2
1997;81;0.4;25.4;69.2;44.6;118.2;100;53.8;22.6;33.8;164.8;180.6;894.4
1998;34.4;4.4;4;162.6;55;72.6;93.6;13.6;196;204.2;31;7.8;879.2
1999;37.2;17.4;88.8;127.6;86.6;141.2;65.2;127.6;46;135.8;103.8;66.6;1043.8
2000;1.2;4.6;71;68.4;98.8;56.4;82;80.2;128.2;127.4;211.8;58.6;988.6
2001;120;5.2;146;96;75.8;60.6;131.2;100.2;123.8;57.6;47.8;0.8;965
2002;37.8;69.6;13.6;150.2;121.8;106.6;73.4;121.4;127.8;134.8;154;60.4;1171.4
2003;68.4;13;1;42.4;28;16.4;11.8;22.2;39.8;85.6;148.4;107.2;584.2
2004;26.2;158.8;59.4;70;142.8;86.2;88;141.6;79;167;77.4;62.6;1159
2005;13.6;11.6;9;140.6;72.4;41;67.4;144.8;182.4;145.6;121.8;54;1004.2
2006;38.6;29.4;59.6;54;82.2;24.8;85;155.6;171.8;14.6;24.4;81.4;821.4
2007;36.2;59;85;10;103;121.6;33.8;151;164;53.6;52.2;17.2;886.6
2008;117;43.8;54.2;103.6;144.4;198.8;62.8;65.8;71;82;166;210.8;1320.2
2009;113.4;88.2;199.4;105.2;67.2;118.4;92.8;37;130.2;69.4;115.4;202.6;1339.2
2010;94.6;131.2;29.6;37.8;200.4;106.4;165.2;61.4;177.2;111.8;179.6;148.8;1444
2011;25.8;51.4;145.2;17.6;64.4;102;99.4;5.4;67.6;114.4;54.8;48.4;796.4
2012;19;21.8;17.2;131.6;123;53.6;31.2;21;99.8;129.8;252.4;54.2;954.6
2013;73.6;73.4;224.8;71.8;241.8;51;26.6;73.8;67.4;53.2;163.6;56;1177
2014;288.8;265.6;68.6;96;149.2;119.4;182.6;149.2;100.2;70.4;192.8;75.8;1758.6
