ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Muson dei Sassi a Castelfranco Veneto;;;;;;;;;;;;;
Coordinata X 1727493 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5061536 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 42 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;25.2;1.6;154.2;52.6;128;38;32;218;206;19.6;6.6;881.8
1999;38;16.8;66.8;103.2;101.6;95.2;119;81.4;54.8;140.8;130.4;54.4;1002.4
2000;0.8;2.8;83;71.4;106;99.4;103.2;69;111.8;189.8;219.8;62;1119
2001;103.2;10.2;157.8;84.4;88.6;>>;>>;>>;54;43.8;43.8;2.6;588.4
2002;36;79;13;146;199.4;99.4;172.6;125;79.2;118.4;127;64.8;1259.8
2003;52;8;1.2;113.6;20;65.4;46.8;20;51;66;138;107.6;689.6
2004;30.6;186;90.6;70.8;125.2;110.8;23.8;66.8;95.2;146.4;78.4;79.8;1104.4
2005;11.2;0.8;16.2;146.8;78.2;77.4;107.4;152.6;109.6;181.4;159.4;58.8;1099.8
2006;44.6;42.6;39.4;90;131.6;49.8;26.4;138.4;140.6;12.4;41.2;74.4;831.4
2007;35.2;44.6;92.6;12.2;136.8;55.4;28.8;121.8;99.8;55.4;48;14.6;745.2
2008;105.2;43.2;63.2;145.4;99;153.4;56;73.6;87.6;89;154.8;224.8;1295.2
2009;78.4;81.6;166.4;113.2;24.4;83.8;40.8;54.8;147;51.4;119.4;149.8;1111
2010;68;144.2;65.6;36.6;184.8;178.6;105.4;117.6;121.6;178.6;254.2;190.6;1645.8
2011;44.2;56.6;134.8;17.6;89.6;191.6;70.4;11;72;109.8;65.2;37.2;900
2012;12.4;22.2;6;104.8;145.8;27.8;52.8;69.6;137;109;259.2;52.4;999
2013;87.4;78.8;265.6;95.2;222.6;23.8;72.2;116.2;16.4;82.6;168.6;47;1276.4
2014;290.2;250.2;87.8;60.4;69.2;92.2;250;131.6;106.8;52;155;92;1637.4
2015;23.2;57.8;85.4;55.6;49.2;65.8;67.4;70;138.4;106.6;11;2.2;732.6
2016;47;205.8;83.4;75.6;171.4;153.2;25.4;48;106;93.6;106.8;1.2;1117.4
2017;17;76.8;13.4;116.8;122.4;64.2;85.4;39;170.4;11.8;107.8;82.6;907.6
2018;27.6;45.8;146.4;44.4;97.2;144.6;163.8;140.6;93.6;147;97.4;19;1167.4
2019;15;77.2;22;214.8;302.2;16.4;97;98;111.2;47.8;216.6;89.8;1308
2020;14.8;6.6;83.4;31.4;53.4;214.4;36.4;112.8;80.2;131.4;14.8;177.4;957
2021;113.8;40.2;12.6;109.8;208.4;33.8;94.8;66.8;27;62.4;133.8;44.2;947.6
2022;22;41.6;8.2;70.2;44.2;47.8;19.2;108.8;106.2;10.2;124.2;120.8;723.4
