ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Passo Falzarego nivo (Q1988);;;;;;;;;;;;;
Coordinata X 1732284 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5156324 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1988 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;89.8;41.4;12;106.6;134.8;88;142.2;183.4;233.6;76.8;39.4;19.2;1167.2
1995;0.2;50.4;32;78.4;163.6;197;134.2;95.8;152;1.2;24.4;>>;929.2
1996;>>;>>;15.2;34.8;182.2;139.6;125;195;50.2;239.6;164.6;>>;1146.2
1997;0;3;18.6;45.2;102.4;309.2;169.8;161.2;35.6;9.6;77.8;0.8;933.2
1998;6.2;6;6;165.4;21.6;48.2;125.8;97.6;183.8;147.2;0;0;807.8
1999;0;13.2;0.2;61;137.6;180.2;152.4;170.8;160.4;96.8;36;26.2;1034.8
2000;12.4;5.4;114.6;54.2;92.8;95.4;150.8;136.4;123.4;313.2;342;25.4;1466
2001;111;17.2;121.2;26.2;76;112.8;31;112;115.4;31.4;27;0;781.2
2002;4.4;54.4;53.8;125.4;254.4;124.2;131.6;129.8;112.2;71.6;440.2;34;1536
2003;15.8;2.4;2.6;40.2;106.6;119.2;146;91.8;24.4;135;203.6;47.2;934.8
2004;5.2;47.8;35.4;76.4;143.2;94.4;162.8;118.2;68.4;192.6;46;0;990.4
2005;6.4;10;22.2;70;97.8;87.4;168;132.4;107.2;153.2;29;36;919.6
2006;11.6;29.6;36.2;101.4;58.4;87.6;98.6;258;87.8;39.4;9.6;80;898.2
2007;77.2;18.4;97;18.4;148.2;168.8;125.4;247.4;78.4;26.8;80.8;3.6;1090.4
2008;79.6;13.6;47.8;87.6;150.4;154.6;125.4;127.8;84.8;174.8;147;134.6;1328
2009;85.6;62.8;90.2;77.6;51.8;150.2;137.6;150.2;94.2;46.4;140.8;119.8;1207.2
2010;17.6;34.8;36.8;45.8;165.6;124.2;67;161;123.2;112.6;144.2;112.4;1145.2
2011;8.8;8.6;39.4;13.2;82.8;0;0;0;0;0;39.4;18.6;210.8
