ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Retrone a Vicenza S.Agostino;;;;;;;;;;;;;
Coordinata X 1696932 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5044442 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 28 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2000;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2001;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2002;39;114.2;13;168.8;213.4;81.8;29.4;0;45.4;127.2;115.4;78.6;1026.2
2003;56;4.8;2.6;116.8;6.2;47.2;26.4;20.6;43.4;105;163.6;158.2;750.8
2004;42;204.4;174;108.8;108;51.8;47.2;13.2;100;129.6;119.6;92;1190.6
2005;16;18.4;19.2;139.4;72.6;31.6;14;171;82.8;211.8;187.6;77;1041.4
2006;13.4;66;42.6;75;34.2;2.6;0.2;5;2;16.8;40.4;59.6;357.8
2007;34;56;75;28.2;119.8;53.4;45.4;52.8;98;59.4;58.6;12.2;692.8
2008;100.4;44.4;48;132.4;102.6;107.4;76.8;70.8;99.4;63.6;227.6;260.2;1333.6
2009;118.8;101.6;160;169.2;6.4;56.2;52.8;49;132;50.2;139.6;133;1168.8
2010;59.6;190.8;65.8;40.2;128.4;115.2;86.6;105;235.2;249.2;319.4;258.8;1854.2
2011;57.8;85.4;159.4;7.2;46;80.6;148.4;6.8;43.8;124.8;114.6;44.8;919.6
2012;15.4;24.6;3.6;120.8;100.8;12.6;30.4;19.8;102.4;139;284.8;70.6;924.8
2013;151.8;101.4;290;126;286.8;31.8;24.4;97.4;59.2;108.8;155.4;67;1500
