ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Roncadin (Chies d'Alpago);;;;;;;;;;;;;
Coordinata X 1762997 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5120910 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1160 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;137.4;72.6;18.8;232.8;183.2;199.6;170.8;166.2;276.4;93.6;162;14.8;1728.2
1995;64;83.8;76;116.8;280.2;334;142.4;153.2;238.8;2.6;68.4;139.8;1700
1996;94.8;44;31.4;94.4;272.8;190.4;137.8;290.4;129.6;327.6;361.4;90;2064.6
1997;86;2.2;22.2;59;146;268;252.4;223.6;41.8;20.2;272.2;252.8;1646.4
1998;52.2;12.4;19.8;424.4;175.8;292.4;169.6;102.2;258.6;258.6;45.8;5.6;1817.4
1999;70.4;14.4;128.8;199.8;174;198.4;126.6;281.6;211.6;174.6;161.6;62.6;1804.4
2000;1;20.6;144.6;104.6;149.8;111.4;182.6;151.4;241.8;450.6;511.8;130.8;2201
2001;240;20.2;311.2;177.6;92;22.4;264.4;150.8;240.2;84.4;60.6;0;1663.8
2002;28.6;94;65.8;210.8;320;372.4;284.8;357.6;268;147.2;459.2;135.2;2743.6
2003;48;6.6;5.4;77.8;98.8;103.8;72;103.8;65.6;154.8;261.4;116.6;1114.6
2004;12.4;94.8;84.4;142.4;286.6;169.8;100.6;217.6;96.8;272.2;130.6;87.4;1695.6
2005;7.6;19;47.6;266;107.6;120.4;159.2;228.8;275.8;500.6;95;96.6;1924.2
2006;19.4;81.2;86.4;190.4;205.8;93;120.8;327.2;174.4;61.6;36.4;167;1563.6
2007;115.8;56.6;140.6;43.2;188.4;163.8;186.4;223;199.4;73.4;120.2;9.4;1520.2
2008;189.4;0.2;35;206;244.6;174;160;140.4;203.6;225.4;252.2;328.8;2159.6
2009;156.6;104.2;217.4;380;86.6;229.6;242.2;133.6;225.8;105.4;261.8;233.2;2376.4
2010;1.2;69.2;50.4;52.4;143.6;227.2;102.2;169.4;276.8;349.2;421.6;176;2039.2
2011;53.4;1.4;112.6;112.4;139;281.8;322;128.6;179.8;232.6;183.2;65.6;1812.4
2012;23.6;0.2;25.6;247.8;211;133.2;222.8;126.2;256.6;250;445.4;23.2;1965.6
2013;92.4;58.6;213.6;213.6;354.2;136.2;96.6;92.2;94.2;188;327;155.6;2022.2
2014;472.8;389.2;178;171.6;124.2;226.4;370.2;172.8;126.2;81;345.8;130.8;2789
2015;85.6;50.8;157.8;70;261.6;172.2;70.4;150.2;198.4;237.4;16.8;0.2;1471.4
2016;78.8;364.8;125.2;108.8;256;216.2;239.8;180.6;130.8;151.2;176.2;0.2;2028.6
2017;18.6;159.2;41.4;164;153.2;185;166;71.2;268.6;49;182.4;28;1486.6
2018;102.2;0.6;119.4;196.4;242.4;129.6;184.8;264.8;65;384.4;144;6;1839.6
2019;0.2;56;42.6;443.6;470.6;42.2;173.2;212.2;111.4;114.6;542;135.8;2344.4
2020;7;10.2;156.2;33.6;132.2;264.2;199.2;325;161.8;333;20.6;267.8;1910.8
2021;27.2;84.6;2.8;96.6;315.6;52.6;117.6;170.6;118;90;163.6;0.4;1239.6
2022;0.6;32;12.4;66.8;128;96.6;147.4;174.8;303.8;73.6;178;136.2;1350.2
2023;54.4;2;80.2;133.2;285;224.6;277;131.8;86.6;377.8;181.4;157.8;1991.8
2024;120.4;265.2;237.6;125.4;433.6;234.4;137.2;75.8;257.4;551.8;7;13.6;2459.4
Medio mensile;79.4;73.3;96.5;166.5;214.9;182.8;180.6;183.8;186.6;207;212.8;102.2;1886.3
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;3;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;5;4;0;0;0;0;1;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;8;2;0;4;0;0;0;0;0;
2004;0;1;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;4;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;2;4;6;0;0;0;0;0;0;0;0;1;
2009;1;3;0;0;0;0;0;0;0;0;0;1;
2010;11;4;1;0;10;0;0;0;0;1;4;10;
2011;2;6;0;0;0;0;0;0;0;0;0;0;
2012;0;5;0;0;0;0;0;0;0;0;1;5;
2013;0;0;2;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;3;0;
2017;0;0;0;0;0;0;0;0;0;0;6;13;
2018;3;16;13;0;0;0;0;0;0;0;0;2;
2019;11;3;0;0;0;0;0;0;0;0;0;2;
2020;2;0;0;0;0;0;0;0;0;0;0;16;
2021;11;0;1;7;0;2;0;0;0;0;4;10;
2022;2;0;0;4;0;0;0;0;0;0;2;3;
2023;14;0;0;0;0;0;0;0;0;0;0;0;
2024;0;0;0;0;0;0;0;0;0;0;0;5;
;;;;;;;;;;;;;
Bollettino elaborato il 4 marzo 2025;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Roncadin (Chies d'Alpago);;;;;;;;;;;;;
Coordinata X 1762997 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5120910 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1160 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;10;6;2;18;13;12;13;11;15;11;4;5;120
1995;6;11;8;8;17;20;10;15;19;1;7;14;136
1996;12;7;9;13;18;9;11;16;13;11;16;9;144
1997;9;2;3;4;14;23;15;15;3;4;15;11;118
1998;8;2;3;20;19;16;9;8;10;11;5;3;114
1999;6;3;9;16;14;18;14;18;11;12;10;7;138
2000;0;2;7;14;14;13;14;11;12;18;19;13;137
2001;16;3;18;11;15;6;12;10;13;3;5;0;112
2002;2;7;4;17;21;8;16;15;10;10;16;9;135
2003;7;2;2;6;10;13;6;9;8;9;10;9;91
2004;4;8;11;17;18;11;13;12;7;13;10;9;133
2005;3;3;9;16;13;12;11;15;12;9;8;8;119
2006;2;9;9;15;14;10;12;19;5;6;6;7;114
2007;6;9;9;5;18;16;9;16;7;7;4;2;108
2008;9;0;5;19;17;17;17;11;15;7;12;11;140
2009;10;5;8;17;7;16;13;13;8;8;11;11;127
2010;1;4;3;9;8;14;10;12;13;8;14;5;101
2011;4;1;7;7;9;21;20;9;7;6;6;6;103
2012;2;0;4;16;16;10;14;10;13;10;13;2;110
2013;12;11;19;18;19;15;10;9;9;15;13;5;155
2014;13;21;9;12;15;16;21;19;16;9;17;10;178
2015;5;7;8;10;16;12;11;12;11;16;3;0;111
2016;7;18;12;9;19;21;14;10;8;14;12;0;144
2017;4;9;5;11;16;13;14;7;14;2;5;3;103
2018;4;0;7;12;25;15;16;15;7;8;9;2;120
2019;0;3;5;17;19;8;17;9;9;10;19;7;123
2020;1;4;9;3;10;19;15;16;8;13;3;3;104
2021;1;5;2;6;20;6;14;13;8;6;11;0;92
2022;0;3;3;6;15;13;10;14;13;4;9;8;98
2023;4;1;5;11;22;17;14;10;8;12;12;5;121
2024;7;11;17;10;23;14;11;9;13;15;2;1;133
Medio mensile;6;6;7;12;16;14;13;13;10;9;10;6;122
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;0;0;0;0;0;
1995;0;0;0;0;0;0;0;0;0;0;0;3;
1996;0;0;0;0;0;0;0;0;0;0;0;0;
1997;0;0;0;0;0;0;0;0;0;0;0;0;
1998;0;0;0;0;0;0;0;0;0;0;0;0;
1999;0;0;0;0;0;0;0;0;0;0;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;0;
2001;0;0;0;0;0;5;4;0;0;0;0;1;
2002;0;0;0;0;0;0;0;0;0;0;0;0;
2003;0;0;0;8;2;0;4;0;0;0;0;0;
2004;0;1;0;0;0;0;0;0;0;0;0;0;
2005;0;0;0;0;0;0;0;0;0;0;0;0;
2006;4;0;0;0;0;0;0;0;0;0;0;0;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;2;4;6;0;0;0;0;0;0;0;0;1;
2009;1;3;0;0;0;0;0;0;0;0;0;1;
2010;11;4;1;0;10;0;0;0;0;1;4;10;
2011;2;6;0;0;0;0;0;0;0;0;0;0;
2012;0;5;0;0;0;0;0;0;0;0;1;5;
2013;0;0;2;0;0;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;3;0;
2017;0;0;0;0;0;0;0;0;0;0;6;13;
2018;3;16;13;0;0;0;0;0;0;0;0;2;
2019;11;3;0;0;0;0;0;0;0;0;0;2;
2020;2;0;0;0;0;0;0;0;0;0;0;16;
2021;11;0;1;7;0;2;0;0;0;0;4;10;
2022;2;0;0;4;0;0;0;0;0;0;2;3;
2023;14;0;0;0;0;0;0;0;0;0;0;0;
2024;0;0;0;0;0;0;0;0;0;0;0;5;
;;;;;;;;;;;;;
Bollettino elaborato il 4 marzo 2025;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Roncadin (Chies d'Alpago);;;;;;;;;;;;;
Coordinata X 1762997 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5120910 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1160 m s.l.m.;;;;;;;;;;;;;
Parametro Radiazione solare globale (MJ/m2);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;159.46;223.618;391.959;355.356;451.528;568.789;696.598;589.676;374.98;285.876;155.101;144.781;4397.722
1995;188.127;180.718;401.135;418.149;442.557;488.972;639.094;509.141;345.168;361.233;171.815;80.059;4226.168
1996;132.858;237.505;312.019;400.07;476.249;606.888;542.237;491.404;356.243;206.811;134.883;130.563;4027.73
1997;173.248;265.898;405.072;535.603;551.878;409.063;639.911;500.585;481.838;309.958;140.902;111.384;4525.34
1998;189.023;291.733;433.179;287.633;521.303;540.196;600.097;556.546;355.289;257.297;190.904;152.921;4376.121
1999;172.157;249.255;353.488;404.897;420.775;554.382;587.341;449.793;378.01;246.042;175.453;129.981;4121.574
2000;206.749;274.027;368.303;386.37;513.88;624.45;514.897;588.428;405.408;191.179;100.415;122.577;4296.683
2001;85.56;258.449;257.65;424.971;525.373;273.357;451.527;583.523;333.71;283.172;195.733;172.509;3845.534
2002;192.622;217.088;361.135;339.998;438.107;583.978;595.193;510.33;382.748;262.542;108.338;120.276;4112.355
2003;172.687;315.555;448.49;299.48;587.354;617.682;515.813;592.317;446.197;255.317;117.711;137.087;4505.69
2004;173.384;195.558;335.928;351.055;489.916;532.744;609.684;544.716;430.772;192.821;175.065;147.575;4179.218
2005;197.977;255.704;383.923;378.148;594.292;552.357;623.344;454.916;350.109;247.649;169.99;141.894;4350.303
2006;175.527;188.771;305.507;399.692;472.527;632.407;656.132;455.63;453.706;276.48;179.06;151.036;4346.475
2007;145.535;228.566;358.637;590.117;564.228;532.174;703.328;508.473;424.535;290.916;192.35;165.164;4704.023
2008;127.913;280.244;281.745;334.87;494.98;550.073;605.592;557.114;374.218;279.743;155.246;131.332;4173.07
2009;141.928;249.102;375.381;411.943;612.355;539.536;632.237;587.011;435.267;285.5;153.691;118.516;4542.467
2010;150.739;201.703;346.478;473.89;433.193;533.675;656.363;515.813;381.613;245.592;101.815;97.094;4137.968
2011;174.319;230.281;395.294;554.665;650.99;528.154;637.186;599.818;468.765;337.673;198.126;132.066;4907.337
2012;206.262;266.873;483.671;375.683;595.735;583.297;642.118;646.834;387.16;265.941;130.113;137.187;4720.874
2013;140.715;212.087;278.444;356.182;442.928;625.977;691.704;599.416;418.081;197.446;122.738;142.326;4228.044
2014;107.528;157.495;432.239;413.298;505.449;555.755;513.475;460.292;355.687;293.722;119.513;125.987;4040.44
2015;184.824;241.094;364.457;471.631;483.869;575.653;660.598;569.822;366.745;233.609;212.809;178.362;4543.473
2016;172.937;166.201;376.531;387.101;479.216;516.784;622.103;608.344;447.863;252.344;141.755;186.338;4357.517
2017;212.971;176.252;445.795;453.755;533.689;627.502;676.906;633.816;306.362;326.81;167.09;124.9;4685.848
2018;160.373;159.841;246.872;496.52;458.11;543.401;602.699;575.591;496.37;272.039;151.25;165.372;4328.438
2019;160.345;280.832;451.847;346.566;349.089;677.06;628.278;571.129;387.863;240.484;94.27;134.173;4321.936
2020;221.177;282.061;370.753;586.014;556.136;506.291;654.676;571.622;452.051;241.304;239.444;87.612;4769.141
2021;134.769;261.545;445.21;437.846;461.626;674.514;618.597;553.605;428.43;328.701;165.234;139.93;4650.007
2022;211.653;261.774;470.594;427.653;564.664;684.23;689.126;587.452;379.828;318.992;183.392;101.858;4881.216
2023;132.368;270.815;384.813;425.28;440.189;590.329;644.49;522.994;462.947;256.456;200.21;141.443;4472.334
