ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Valstagna;;;;;;;;;;;;;
Coordinata X 1706448 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5082227 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 148 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;146.9;76.3;20.1;188.5;141.3;53.4;153.6;24.3;226.4;121.4;164.1;64.8;1381.1
1995;49.6;35.1;42.8;144.9;258.7;192.2;75.7;265.7;332.9;0.1;65.1;228.2;1691
1996;62.4;49.2;9.5;111.4;304;142.1;149.3;228.7;48.1;286.1;337.5;118.8;1847.1
1997;104.5;0.5;7.8;79.9;101.8;256;156.2;0;39.7;45.1;330.8;256.4;1378.7
1998;44.4;26.4;0;365.3;95;126.8;115.8;0;215.8;388.4;2.5;7.9;1388.3
1999;98.5;0;172.5;181.7;162.5;182.4;182;146.3;0;185.6;186.6;77.3;1575.4
2000;0.5;8.2;185.3;123.4;127.3;129.1;129;187.5;223.3;366;741.5;70.2;2291.3
2001;174.6;25.5;304;109.4;87.3;27.3;93.3;126.2;183.4;65.4;68.4;0;1264.8
2002;32.8;143.7;69.7;223.8;220.4;44.5;>>;>>;0;152.4;567.5;100;1554.8
2003;110.8;3.5;7.8;100;45.9;84.6;60.1;77.5;70;153.5;175.2;174;1062.9
2004;16.5;179;166;16.4;45.1;137.9;62.1;211;118;252.3;190.6;147.8;1542.7
2005;5.4;24.9;66.4;326.2;198.2;247.2;341;177.1;212.2;233.6;129.2;89.7;2051.1
2006;62.2;79.3;71.9;158.8;100.5;71.5;48.7;275.9;195.5;0;0.1;194.6;1259
2007;102;49.8;148.8;18.4;278.5;123.4;67.4;253.7;106.8;81.5;196.5;5;1431.8
2008;188.5;63.1;88.2;236.4;245.3;173.2;136.7;171.6;195.4;237;319.9;390.1;2445.4
2009;149.1;206.9;250.7;331.6;36.2;163;189.1;208.7;238.2;110.3;278.8;258.2;2420.8
2010;89.2;143.8;102.4;45.6;362.9;72;126.8;146.1;64.5;460.3;637;374.8;2625.4
2011;42.9;74.3;193;31.8;83.8;268;112.8;56.1;176.1;251.4;211.2;39.7;1541.1
2012;16;21.2;22.1;215;191.7;96.4;125.3;71.1;196.1;213.4;544.6;40.2;1753.1
2013;118.6;46.8;302.8;207.4;402.4;78;63.5;99.5;112.6;155.7;197.3;289.6;2074.2
2014;541.6;420;163.9;117.2;82.7;177.7;306.1;290;61.5;116.6;557.3;131.3;2965.9
2015;67;95.4;106.8;47.4;174;107.4;61.6;108.6;157.2;216.6;8.2;0;1150.2
2016;67.6;269.8;157.6;77.4;197;127.4;87;111.2;78;138.8;147;0;1458.8
2017;6;128.6;44.2;133;94.4;151.8;75.8;26;163.4;25.8;198;210.8;1257.8
2018;99.8;43.4;172.4;131.6;230.2;140;108.2;134.2;135.8;280.2;160.8;11.2;1647.8
2019;17.6;175.4;25.8;354.8;306.8;67.8;128.4;131.6;113.8;90;537;137.6;2086.6
2020;8.2;3.8;141.4;39.4;129.8;196.4;107.4;337.4;64.2;260.8;8.8;465.2;1762.8
2021;205.8;54.2;8.6;120.8;245;65.2;188.8;152;59;60.2;277.2;33.6;1470.4
2022;44;44;7;92.6;165.2;38;66.2;155.6;125;24;138.4;120;1020
2023;76.4;3.2;22.4;74.6;119.2;104.6;166;135.6;52.8;251.4;184.8;81;1272
2024;105.6;369.8;250.2;93.2;475.6;271.4;115.8;45.8;264.4;498.8;2.2;59.8;2552.6
Medio mensile;92.1;92.4;107.5;145.1;184.2;132.8;126.7;145.2;136.5;184.6;244;134.8;1716.9
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Il valore mensile è la somma valori giornalieri.;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;7;8;0;0;0;
1995;0;7;6;0;0;0;0;0;0;0;0;0;
1996;18;0;3;0;0;0;0;0;0;7;0;1;
1997;1;0;0;0;0;0;1;28;0;0;2;0;
1998;0;0;1;0;0;0;0;29;8;0;3;0;
1999;0;2;0;0;0;0;0;2;9;3;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;1;
2001;0;0;1;0;0;0;0;2;5;0;1;1;
2002;0;0;3;0;20;29;31;31;26;0;0;0;
2003;0;0;0;7;4;4;1;0;0;0;9;5;
2004;0;0;0;13;11;7;0;0;0;0;0;0;
2005;0;0;4;3;0;0;0;0;0;0;0;2;
2006;1;0;0;0;0;0;0;2;1;6;12;1;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;3;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;1;
2010;3;0;0;0;0;2;0;0;5;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;3;0;0;0;0;0;0;0;0;0;1;
2013;0;2;0;0;4;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;2;0;0;0;
2023;0;0;0;0;0;0;0;0;0;0;0;0;
2024;0;0;0;0;0;0;0;1;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 5 marzo 2025;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei giorni piovosi pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Valstagna;;;;;;;;;;;;;
Coordinata X 1706448 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5082227 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 148 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (giorni piovosi);;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;8;4;1;12;8;10;9;4;10;6;4;4;80
1995;5;6;5;9;15;13;8;13;10;0;4;13;101
1996;2;6;3;13;15;10;10;15;6;7;14;9;110
1997;8;0;3;3;10;16;12;0;2;2;9;8;73
1998;7;2;0;16;15;11;7;0;7;9;1;2;77
1999;4;0;9;10;14;14;10;9;0;6;8;8;92
2000;0;2;7;12;15;7;10;9;8;15;18;7;110
2001;13;3;13;10;10;4;5;8;9;3;5;0;83
2002;2;6;4;14;6;1;>>;>>;0;7;15;7;62
2003;6;1;3;6;5;10;8;7;6;10;6;4;72
2004;4;9;8;2;4;7;5;10;7;14;7;10;87
2005;1;5;4;12;10;8;15;13;13;9;6;6;102
2006;4;7;5;10;7;5;5;13;4;0;0;7;67
2007;4;7;8;4;12;10;9;11;6;5;4;3;83
2008;7;4;8;17;14;13;12;9;10;5;11;11;121
2009;12;7;7;13;5;17;11;6;10;6;10;11;115
2010;5;9;8;8;16;4;7;8;2;9;16;12;104
2011;6;5;9;6;5;15;13;7;6;6;5;4;87
2012;2;1;3;15;11;7;12;7;11;9;10;5;93
2013;11;6;21;15;14;11;6;8;8;12;12;5;129
2014;15;20;4;8;11;16;14;13;7;6;15;10;139
2015;5;7;6;8;11;9;7;10;6;13;2;0;84
2016;5;14;8;11;15;14;12;9;6;11;11;0;116
2017;2;8;4;8;12;11;5;5;12;2;8;7;84
2018;3;8;16;9;18;13;11;8;6;6;8;3;109
2019;4;4;4;14;16;5;11;7;6;8;20;8;107
2020;3;2;7;3;12;13;13;14;8;9;2;12;98
2021;9;3;2;7;17;6;13;10;5;4;12;4;92
2022;1;1;1;9;11;7;7;11;12;2;8;8;78
2023;8;1;3;7;17;12;13;8;5;12;9;4;99
2024;7;12;18;9;21;14;11;5;12;17;1;4;131
Medio mensile;6;5;7;10;12;10;10;9;7;7;8;6;96
;;;;;;;;;;;;;
Si segnala che con precipitazione nevosa il pluviometro potrebbe non rilevare o sottostimare il fenomeno.;;;;;;;;;;;;;
Si considera giorno piovoso quando il valore di pioggia giornaliero è >= 1 mm;;;;;;;;;;;;;
Il valore somma annuale è la somma dei valori mensili.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili degli anni.;;;;;;;;;;;;;
Con valore >> il dato non è disponibile;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Tabella dei giorni assenti;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;0;0;0;0;0;0;0;7;8;0;0;0;
1995;0;7;6;0;0;0;0;0;0;0;0;0;
1996;18;0;3;0;0;0;0;0;0;7;0;1;
1997;1;0;0;0;0;0;1;28;0;0;2;0;
1998;0;0;1;0;0;0;0;29;8;0;3;0;
1999;0;2;0;0;0;0;0;2;9;3;0;0;
2000;0;0;0;0;0;0;0;0;0;0;0;1;
2001;0;0;1;0;0;0;0;2;5;0;1;1;
2002;0;0;3;0;20;29;31;31;26;0;0;0;
2003;0;0;0;7;4;4;1;0;0;0;9;5;
2004;0;0;0;13;11;7;0;0;0;0;0;0;
2005;0;0;4;3;0;0;0;0;0;0;0;2;
2006;1;0;0;0;0;0;0;2;1;6;12;1;
2007;0;0;0;0;0;0;0;0;0;0;0;0;
2008;3;0;0;0;0;0;0;0;0;0;0;0;
2009;0;0;0;0;0;0;0;0;0;0;0;1;
2010;3;0;0;0;0;2;0;0;5;0;0;0;
2011;0;0;0;0;0;0;0;0;0;0;0;0;
2012;0;3;0;0;0;0;0;0;0;0;0;1;
2013;0;2;0;0;4;0;0;0;0;0;0;0;
2014;0;0;0;0;0;0;0;0;0;0;0;0;
2015;0;0;0;0;0;0;0;0;0;0;0;0;
2016;0;0;0;0;0;0;0;0;0;0;0;0;
2017;0;0;0;0;0;0;0;0;0;0;0;0;
2018;0;0;0;0;0;0;0;0;0;0;0;0;
2019;0;0;0;0;0;0;0;0;0;0;0;0;
2020;0;0;0;0;0;0;0;0;0;0;0;0;
2021;0;0;0;0;0;0;0;0;0;0;0;0;
2022;0;0;0;0;0;0;0;0;2;0;0;0;
2023;0;0;0;0;0;0;0;0;0;0;0;0;
2024;0;0;0;0;0;0;0;1;0;0;0;0;
;;;;;;;;;;;;;
Bollettino elaborato il 5 marzo 2025;;;;;;;;;;;;;
