"ID_STAZ";"LAT";"LON";"GBEST";"GBNORD";"tot.precipitation.mm";"days.no.precipitation";"mean.dailyMeanTemp";"range.dailyMeanTemp";"mean.dailyMaxTemp";"mean.dailyMinTemp"
3;46,499;11,876;1720718;5153640;1148;207;5,40765027322404;30,5;10,0426229508197;1,7051912568306
9;46,439;11,99;1729708;5147354;1017,4;218;7,55655737704918;30,9;13,5920765027322;3,21147540983607
11;46,427;11,905;1723214;5145786;1344,2;197;5,43524590163934;31,1;11,3497267759563;1,17786885245902
15;46,312;11,882;1721980;5132902;1319,6;200;6,25245901639344;30,3;11,5579234972678;2,63497267759563
17;46,393;12,356;1758086;5143344;1105,6;217;9,74345403899721;29,9;15,8885793871866;5,68356545961003
19;46,277;12,033;1733713;5129437;1193,8;212;9,52185792349727;30,6;15,6483606557377;4,65
21;46,228;11,957;1728092;5123837;1546,6;194;7,11830601092896;28,9;11,4844262295082;3,65081967213115
22;46,047;12,154;1744072;5104281;1470,2;216;10,7898907103825;28,7;15,3915300546448;7,15191256830601
25;46,14;12,079;1737877;5114339;1710,8;211;11,0601092896175;29;16,1169398907104;7,23715846994536
28;45,944;12,021;1734207;5092398;0;366;6,15758426966292;27,5;8,57556179775281;3,93623595505618
33;45,956;12,117;1741576;5094037;56,8;359;3,56666666666667;6,7;6,36666666666667;1,64166666666667
37;46,518;12,007;1730665;5156102;1297,2;206;3,02955801104972;30,4;7,02541436464088;-0,225690607734807
47;46,526;12,175;1743531;5157576;1138;196;2,50391061452514;30,3;6,03351955307263;-0,2
53;46,555;12,426;1762629;5161582;1277,6;209;7,54640883977901;31,7;13,8627071823204;2,79558011049724
55;46,378;12,093;1737890;5140871;1280,8;187;5,56967213114754;29,6;10,1617486338798;2,4707650273224
56;46,345;12,184;1745042;5137517;1177,2;196;8,15150684931507;30,9;14,3465753424658;3,68794520547945
58;46,557;12,553;1772376;5162172;1237,6;213;6,9227397260274;32,9;13,5032876712329;2,30301369863014
59;46,46;12,41;1761893;5150941;1249,2;216;8,94986149584487;30,5;14,8540166204986;4,73157894736842
61;46,601;12,63;1778097;5167374;1077,6;211;4,60628415300546;31,6;11,9431693989071;-0,430601092896175
67;46,031;11,827;1718812;5101524;1278,2;217;6,88140845070423;28;9,67070422535211;4,38845070422535
68;45,814;11,308;1679369;5076164;1517,2;216;9,87950819672131;30,5;16,018306010929;4,9448087431694
71;45,547;11,225;1673701;5046287;1190;218;12,8584699453552;28,3;17,7972677595628;8,51967213114754
73;45,806;11,225;1672938;5075022;1545;216;10,0175342465753;27,4;14,718904109589;6,52356164383562
74;45,929;11,413;1687119;5089158;0;366;4,02404371584699;32;7,06229508196721;1,53688524590164
76;45,703;11,185;1670107;5063499;1794,4;215;11,0449035812672;27,6;15,0358126721763;7,87548209366391
77;45,679;11,225;1673358;5060979;1901,6;216;9,3013698630137;27,9;12,5717808219178;6,67178082191781
79;45,63;11,308;1679980;5055700;1415,6;235;13,2677595628415;29,4;18,7844262295082;8,84836065573771
81;45,75;11,416;1687964;5069297;0;366;11,5469945355191;28;16,6117486338798;8,07841530054645
82;45,804;11,74;1712940;5076113;1517,8;222;11,6345205479452;28,4;16,3512328767123;8,64356164383562
83;45,657;11,548;1698530;5059290;1325,8;211;13,6901639344262;29,7;19,1497267759563;8,77786885245902
87;45,607;11,181;1670129;5052884;1372,4;230;10,3346994535519;27,6;13,7426229508197;7,60300546448087
88;45,625;11,209;1672246;5054903;1534,4;208;11,2177595628415;28,3;16,6516393442623;7,08989071038251
91;46,651;12,424;1762015;5172231;1394,4;193;4,29863387978142;31,6;9,17131147540984;0,589071038251366
92;46,118;12,44;1765832;5113056;1833,8;207;8,20055710306407;28,7;11,9158774373259;5,10055710306407
93;46,15;12,363;1759720;5116406;1373,4;210;10,8016483516484;28,9;15,017032967033;7,33104395604396
96;44,988;11,529;1699431;4984911;918,6;211;13,9513661202186;30,3;19,2158469945355;9,04972677595628
98;45,092;11,721;1714125;4996919;791,6;250;14,1419178082192;30,1;19,1353424657534;9,81753424657534
99;45,03;11,577;1703023;4989689;896;242;14,322131147541;30,2;19,3046448087432;9,83688524590164
101;44,916;12,369;1765952;4979306;734,4;238;14,3521857923497;28,9;18,9177595628415;9,99125683060109
102;45,694;11,948;1729544;5064403;1114,6;229;13,7371584699454;30,2;19,4822404371585;8,63743169398907
104;45,371;10,832;1643529;5025977;907;239;13,7155737704918;30,4;19,0024590163934;8,66174863387978
105;45,389;11,379;1686304;5029116;885,6;256;14,1907103825137;31,5;19,2172131147541;9,46584699453552
106;45,242;11,468;1693723;5012987;850,4;212;14,15;31,4;19,4013888888889;9,17944444444444
108;45,238;11,086;1663752;5011695;778,8;222;14,0592896174863;30,9;19,2030054644809;9,30081967213115
111;45,346;11,952;1731296;5025799;998;246;13,922131147541;30,2;18,6409836065574;9,44344262295082
112;45,07;12,261;1756791;4996051;920,2;235;14,1366120218579;30,2;18,2040983606557;9,96174863387978
113;45,03;11,302;1681389;4989028;828,2;215;14,167397260274;29,3;19,3054794520548;9,43917808219178
114;45,07;11,922;1730075;4995054;935,2;208;13,9551912568306;29,9;19,131693989071;9,24863387978142
115;45,015;12,007;1737013;4989122;854,2;238;13,9718579234973;29,8;18,9265027322404;9,25765027322404
116;44,989;11,679;1711195;4985401;798,6;219;13,8895890410959;29,3;18,8975342465753;9,28164383561644
117;45,217;11,009;1657750;5009143;871,4;245;14,068956043956;30,4;19,271978021978;9,36758241758242
118;45,517;10,765;1637929;5042074;986,6;239;14,1043715846995;28,8;18,6505464480874;10,0885245901639
119;45,265;11,251;1676635;5014964;888,2;266;13,8046575342466;31,2;19,3002739726027;8,67917808219178
121;45,091;11,633;1707268;4996612;764,4;209;14,0928961748634;30,1;19,1040983606557;9,48169398907104
122;45,606;12,026;1736015;5054913;903,8;195;13,6603825136612;29,9;19,4101092896175;8,73715846994535
123;45,374;11,296;1679789;5027250;824;231;13,724791086351;31,7;19,6565459610028;8,22339832869081
124;45,547;10,923;1650168;5045646;1018,8;239;13,8090163934426;28,3;18,2915300546448;9,8431693989071
125;45,508;10,888;1647514;5041286;865;247;13,6672131147541;31,9;19,0598360655738;8,69699453551913
126;45,459;11,171;1669803;5036390;1001,4;245;13,9437158469945;31,7;19,1333333333333;9,37568306010929
127;45,352;11,01;1657503;5024149;772,8;220;13,9308743169399;30,6;19,1349726775956;8,81967213114754
128;45,509;11,013;1657307;5041581;1053;235;13,7581967213115;30,8;19,0467213114754;9,22049180327869
129;45,453;10,772;1638607;5035006;936;213;13,5639344262295;31,5;19,305737704918;7,85710382513661
131;45,156;11,288;1679852;5003017;770,8;247;14,1748633879781;30,5;19,0346994535519;9,73251366120219
132;46,436;12,069;1735782;5147232;1293,4;193;5,65867768595041;33,5;11,5961432506887;1,1564738292011
134;45,668;11,464;1692000;5060290;1443,2;240;14,1131147540984;30,2;19,0002732240437;9,50874316939891
135;45,718;11,181;1669793;5065149;2036,6;204;8,78087431693989;26,9;12,0472677595628;5,96311475409836
136;46,569;12,708;1784181;5164160;1426,8;203;5,88079096045198;31,6;11,8358757062147;1,55141242937853
137;45,757;11,214;1672265;5069542;1591;217;11,2565573770492;27,5;15,7062841530055;7,74726775956284
139;45,783;11,588;1701210;5073345;1460;217;10,6819672131148;27,9;14,557650273224;7,48087431693989
142;45,304;11,697;1711449;5020414;1270,4;235;13,4301136363636;27,4;17,3193181818182;10,1997159090909
144;45,715;11,776;1716095;5066330;1132,8;236;14,2824657534247;29;19,0408219178082;9,8758904109589
145;45,397;11,57;1701211;5030367;1073,2;219;14,1068306010929;31,8;19,4090163934426;9,08633879781421
146;45,578;11,358;1683986;5050040;1311,2;234;14,2128415300546;28,8;18,7860655737705;10,4101092896175
147;45,719;11,576;1700519;5066236;1272,8;233;14,194262295082;28,5;18,5352459016393;10,3622950819672
148;45,474;11,471;1693183;5038765;1255,2;241;14,1609289617486;31,4;19,2614754098361;9,49726775956284
149;45,448;11,662;1708173;5036371;1000,8;209;13,9691256830601;30,4;19,1836065573771;9,36475409836066
151;45,116;11,481;1695166;4999008;889,4;203;13,7808219178082;29,5;19,3295890410959;8,70054794520548
152;45,134;11,584;1703222;5001188;853,8;247;13,8303278688525;30,1;19,1803278688525;8,84344262295082
153;45,568;11,63;1705283;5049560;1186;243;13,7844262295082;30,7;19,2158469945355;8,86338797814208
