"","stazione","GBEST","GBNORD","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","tot.precipitation.mm"
"1","Adria - Bellombra","1737018","4989114",37.9,45.1,48.1,54.5,79,62.7,46.1,57.5,70,75,72.3,51.7,699.9
"2","Agna","1732500","5004920",38.8,49.7,52.8,66.1,88.9,65.4,51.8,63.9,76.7,81.8,78.8,56,770.7
"3","Agno a Ponte Brogliano","1684875","5051260",87,104.6,100.2,101.1,142.9,92.9,79.7,93,109.8,126.6,164.5,113.5,1315.8
"4","Agno a Recoaro Terme","1672436","5063345",110.8,149.9,137.7,192.7,244.2,154.3,114.9,154.2,166.4,232.3,314.9,159.6,2131.9
"5","Agordo","1733713","5129437",71.2,63.7,82.9,107.4,141.8,121.4,132,148.4,122.3,162.5,218.4,101.4,1473.4
"6","Arabba","1720711","5153645",47.2,40.1,54.9,77,125.8,126.1,146.8,150.3,100.4,112,126.1,61.9,1168.6
"7","Arcole","1679788","5027250",46.6,47.9,47.4,68.4,94.7,66.8,56.1,70.8,77.5,80.2,86,61.8,804.2
"8","Asiago - aeroporto","1694869","5084184",57.2,50.3,77.1,111.2,171.8,147.7,134.6,139.6,123.3,152.9,182.5,79.2,1427.4
"9","Astico a Lugo di Vicenza","1696324","5068320",70.1,72.5,80,103.7,149.6,107.5,96.4,123.3,108.9,120.7,143.8,91.3,1267.8
"10","Astico a Pedescala","1683842","5079539",72.2,90.4,97.2,124.6,200.3,129.6,129.7,125.2,107.7,166.9,187.9,109.1,1540.8
"11","Auronzo","1762629","5161582",56.3,45.7,62.4,86.8,118.9,124.6,147.1,149.7,113.5,130.6,144.3,76.1,1256
"12","Bagnolo di Po - Pellizzare","1699431","4984911",38.7,47.7,49.1,57.8,79.7,59.3,39.8,52.9,66.1,78.2,76.8,52.3,698.4
"13","Balduina (Sant'Urbano)","1703223","5001186",39.2,49.2,50,64.2,85.6,62.7,55.1,60.3,68.9,78.7,77.6,54.8,746.3
"14","Barbarano Vicentino","1701220","5030373",52.3,63.3,60.5,85.8,99.1,70,68.6,73,83.6,90.5,101.1,72,919.8
"15","Bardolino - Calmasino","1637949","5042029",44.7,46.7,46.6,73,97.4,78,79.8,89.9,89,89.5,102.5,59.3,896.4
"16","Bassano del Grappa","1712249","5073813",67.2,78.8,85.5,102.1,150.4,111.4,103.3,145.5,114,124.3,159.1,93.1,1334.7
"17","Belluno - aeroporto","1750560","5117458",79.7,83.9,91.6,111.8,176.4,149.3,150,157.2,145.5,141.4,148.7,101.6,1537.1
"18","Bibione","1817788","5062316",70.9,76,80.5,67.8,106.9,77.7,61.2,69,126.9,100.2,141,92.6,1070.7
"20","Bosco Chiesanuova","1658960","5053799",65.6,73.5,71.5,102.2,152.9,115.8,119.1,127.9,116.3,141.9,155.3,86.9,1328.9
"21","Bovolenta","1730051","5017879",49.6,33.8,36.1,60,130.7,34.4,84.5,44.1,54.8,79.2,59,48.2,714.4
"22","Breda di Piave - Via Bovon","1763025","5068876",56.8,56.4,67.2,101.8,156.8,104.4,100,96,108.4,102.1,123.8,80.3,1154
"23","Breda di Piave","1759797","5068144",61.4,62.6,66.6,85,106.1,92,76,86.8,115.9,87.3,119.1,78.5,1037.3
"24","Breganze","1700519","5066235",74.2,74.9,79.6,110.8,149.9,106.1,102.2,123.1,126.1,126.6,155,97,1325.5
"25","Brendola","1693126","5038384",66.8,79.8,79,99.6,119.5,70.3,75.4,87.1,98.4,104.6,126.7,95.1,1102.3
"26","Brustole' (Velo d'Astico)","1682124","5074666",90.5,93.4,113.7,146.7,195.4,130.9,123.9,144.5,144.9,197.5,252.9,129.2,1763.5
"27","Buttapietra","1657525","5023913",44.9,46.9,43.1,69.3,91.2,65.5,63.7,67.6,77,74.9,85.1,61.8,791
