x y pm10
481135.089 5051971.746 45.58
484311.154 5056208.706 45.92
487170.05 5047916.669 43.81
489134.732 5019418.989 35.11
490716.878 5034526.704 47.1
492543.561 4994570.473 33.49
497470.34 5070236.499 37.33
500747.426 4983099.761 38.63
503205.15 5052718.459 41.83
505285.377 5073698.369 40.85
506384.039 5043523.423 51.44
509865.276 5064348.324 45.05
511604.533 5003859.012 44.07
512285.193 5056678.307 57.67
515351.942 5034641.386 49.49
517500.355 5073313.186 33.34
518486.94 5036388.327 43.56
521425.037 5047648.205 50.15
525664.873 5036928.262 51.44
527102.283 5076530.043 32.11
528805.003 5051528.1 45.86
530795.245 5077677.974 33.79
532573.573 5019932.531 44.25
535540.551 5020589.496 46.95
537788 5059965.961 42.44
538124.48 5017258.555 48.92
539554.896 5051928.013 47.8
540054.703 5035328.183 48.25
540086.774 5041045.098 47.3
543424.875 5053717.969 43.75
543540.712 5038648.094 47.59
544045.122 5109377.303 22.86
546318.709 5041013.05 42.76
547756.816 5052354.947 44.61
548272.856 5056619.908 43.77
550198.874 5060120.865 44.11
554954.098 5001090.833 52.11
555236.074 4992496.134 37.43
562415.038 5003638.712 44.73
567264.663 5113277 37.9
567794.079 5015058.425 44.1
582148.817 4999513.693 45.16
589294.239 5119076.85 29.54
593769.998 5056635.377 36.62
595302.998 5041188.669 47.98
595548.998 5043872.618 41.72
604448.863 5041308.58 58.18
605434.568 5147505.75 20.02
608357.998 5055489.403 35.03
631794.34 5030371.572 42.09
640114.013 5001550.356 41.41
641212.001 5002559.313 43.17
641852.989 5000868.381 45.44
646221.935 5001852.334 49.07
663662.677 4987120.884 39.77
668298.633 4993514.622 30.79
671835.581 4990628.717 39.87
680872.381 4986221.848 35.68
